,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
69,2021-07-23 11:45:00+05:30,72.75,79.9,72.75,79.9,375,4100,70.68300028180978,1,70.68300028180978,,83.75633267577719,-1,,83.75633267577719,91.7931818181818,76.69722222222221,,91.28835553402145,0.14,0
70,2021-07-23 12:15:00+05:30,79.9,79.9,72.75,74.9,125,4150,70.68300028180978,1,70.68300028180978,,83.75633267577719,-1,,83.75633267577719,91.1431818181818,76.65263157894735,,88.58098575925844,0.14,0
71,2021-07-23 12:45:00+05:30,74.9,76.0,74.9,76.0,825,4250,70.68300028180978,1,70.68300028180978,,83.75633267577719,-1,,83.75633267577719,90.37613636363635,76.38984375,,86.25264775296226,0.14,0
72,2021-07-23 13:15:00+05:30,76.0,76.0,76.0,76.0,75,4750,71.5618893902942,1,71.5618893902942,,83.75633267577719,-1,,83.75633267577719,89.71704545454544,76.38091603053434,,84.25027706754754,0.14,0
73,2021-07-23 13:45:00+05:30,76.0,76.0,73.85,73.85,700,5375,71.5618893902942,1,71.5618893902942,,83.14747533092422,-1,,83.14747533092422,89.00454545454544,76.06142557651991,,82.52823827809088,0.14,0
74,2021-07-23 14:15:00+05:30,73.85,73.85,72.9,73.5,1600,6600,71.5618893902942,1,71.5618893902942,,80.69426456936363,-1,,80.69426456936363,88.35681818181817,75.30239162929746,,81.04728491915816,0.14,0
75,2021-07-23 14:45:00+05:30,73.0,76.0,73.0,76.0,1400,6825,71.5618893902942,1,71.5618893902942,,80.69426456936363,-1,,80.69426456936363,87.81136363636362,75.24169653524491,,79.77366503047601,0.14,0
76,2021-07-23 15:15:00+05:30,76.0,76.55,74.75,76.0,225,7950,72.33680077043786,1,72.33680077043786,,80.69426456936363,-1,,80.69426456936363,87.26590909090908,75.25810185185185,,78.67835192620937,0.14,0
77,2021-07-26 09:15:00+05:30,72.6,73.65,72.6,73.65,25,7850,72.33680077043786,1,72.33680077043786,,79.77619867924939,-1,,79.77619867924939,86.62386363636362,73.3,,77.73638265654006,0.14,0
78,2021-07-26 09:45:00+05:30,73.65,74.0,73.65,73.7,50,7875,72.33680077043786,1,72.33680077043786,,79.62602743935662,-1,,79.62602743935662,86.09431818181817,73.62222222222223,,76.92628908462446,0.14,0
79,2021-07-26 10:15:00+05:30,73.7,73.7,71.55,72.5,75,7850,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,85.45340909090908,73.10277777777779,,76.22960861277703,0.16,0
80,2021-07-26 10:45:00+05:30,72.5,74.0,72.5,74.0,2600,9525,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,84.84772727272725,73.47833333333332,,75.4808712347327,0.16,0
81,2021-07-26 11:15:00+05:30,74.0,76.25,72.35,73.15,500,9500,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,84.23749999999998,73.54576923076922,71.55,,0.02,1
82,2021-07-26 11:45:00+05:30,73.15,74.55,72.0,74.0,350,9450,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,84.07840909090908,73.54293981481482,71.64399999999999,,0.02,0
83,2021-07-26 12:15:00+05:30,74.0,76.0,73.55,76.0,225,9475,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,83.85113636363634,73.63943355119825,71.73611999999999,,0.02,0
84,2021-07-26 12:45:00+05:30,76.0,76.0,73.15,73.15,50,9475,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,83.55795454545454,73.64537634408602,71.82639759999998,,0.02,0
85,2021-07-26 13:15:00+05:30,73.15,75.75,73.15,75.75,25,9475,72.33680077043786,1,72.33680077043786,,78.21159494801996,-1,,78.21159494801996,83.16590909090907,73.65331196581195,71.91486964799998,,0.02,0
86,2021-07-26 13:45:00+05:30,75.75,75.75,69.0,69.0,675,9500,75.66605665603916,-1,,75.66605665603916,78.95711331207832,-1,,78.95711331207832,82.62045454545454,73.29872495446266,,76.25,0.02,1
87,2021-07-26 14:15:00+05:30,69.0,73.15,66.95,69.05,550,9250,73.75661999089073,-1,,73.75661999089073,77.46323998178143,-1,,77.46323998178143,82.00568181818181,72.91430894308942,,76.105,0.04,0
88,2021-07-26 14:45:00+05:30,69.05,70.1,69.05,69.35,3025,9525,72.90210284933488,-1,,72.90210284933488,76.22920569866977,-1,,76.22920569866977,81.45454545454544,71.64703476482616,,75.75,0.04,0
89,2021-07-26 15:15:00+05:30,69.35,72.0,69.25,69.25,825,9525,72.90210284933488,-1,,72.90210284933488,76.22920569866977,-1,,76.22920569866977,80.86590909090908,71.51095636025997,,75.398,0.04,0
90,2021-07-27 09:15:00+05:30,67.0,70.65,64.75,64.75,1300,10075,71.32399393012359,-1,,71.32399393012359,74.9479878602472,-1,,74.9479878602472,80.22727272727272,66.71666666666667,,75.06008,0.06,0
91,2021-07-27 09:45:00+05:30,64.75,71.0,64.75,69.55,275,10300,71.32399393012359,-1,,71.32399393012359,74.9479878602472,-1,,74.9479878602472,79.76249999999999,67.01640211640212,,74.4414752,0.06,0
92,2021-07-27 10:15:00+05:30,69.55,71.4,68.85,69.95,150,10350,71.32399393012359,-1,,71.32399393012359,74.9479878602472,-1,,74.9479878602472,79.32954545454544,67.2816425120773,,73.85998668799999,0.06,0
93,2021-07-27 10:45:00+05:30,70.0,70.0,68.0,68.0,175,10425,71.32399393012359,-1,,71.32399393012359,74.9479878602472,-1,,74.9479878602472,78.87499999999999,67.4092105263158,,73.31338748671999,0.06,0
94,2021-07-27 11:15:00+05:30,68.0,68.05,67.85,67.85,50,10250,71.00951525757607,-1,,71.00951525757607,74.06903051515216,-1,,74.06903051515216,78.47954545454544,67.42222222222223,,72.7995842375168,0.06,0
95,2021-07-27 11:45:00+05:30,67.85,68.05,67.85,68.05,25,10225,70.60101307792235,-1,,70.60101307792235,73.2520261558447,-1,,73.2520261558447,77.80681818181817,67.42932489451478,,72.31660918326578,0.06,0
96,2021-07-27 12:15:00+05:30,68.05,70.05,65.1,68.75,1875,10800,70.5544397810763,-1,,70.5544397810763,73.2520261558447,-1,,73.2520261558447,77.07613636363635,67.69101731601731,,71.86261263226983,0.06,0
97,2021-07-27 12:45:00+05:30,68.75,71.1,66.0,66.0,1775,10825,70.5544397810763,-1,,70.5544397810763,73.2520261558447,-1,,73.2520261558447,76.30681818181817,67.69385185185185,,71.43585587433364,0.06,0
98,2021-07-27 13:15:00+05:30,66.0,69.2,66.0,67.95,450,11000,70.5544397810763,-1,,70.5544397810763,73.2520261558447,-1,,73.2520261558447,75.59886363636362,67.69554183813442,,71.1,0.06,0
99,2021-07-27 13:45:00+05:30,67.95,69.0,67.0,68.0,200,11075,70.5544397810763,-1,,70.5544397810763,73.2520261558447,-1,,73.2520261558447,74.97954545454544,67.70524568393094,,71.1,0.06,0
100,2021-07-27 14:15:00+05:30,68.0,68.0,65.85,66.1,200,11100,69.87993709132648,-1,,69.87993709132648,72.83487418265297,-1,,72.83487418265297,74.36136363636362,67.67265122265121,,70.719,0.06,0
101,2021-07-27 14:45:00+05:30,66.1,67.05,64.8,65.6,700,10875,68.77923179256555,-1,,68.77923179256555,71.63346358513112,-1,,71.63346358513112,73.7556818181818,67.49157955865273,,70.36085999999999,0.06,0
102,2021-07-27 15:15:00+05:30,65.6,67.4,65.0,67.4,150,10900,68.77923179256555,-1,,68.77923179256555,71.63346358513112,-1,,71.63346358513112,73.24204545454543,67.47332195676906,,70.02420839999999,0.06,0
103,2021-07-28 09:15:00+05:30,61.6,63.65,56.85,56.95,2775,10550,64.14800703127266,-1,,64.14800703127266,68.04601406254531,-1,,68.04601406254531,72.49204545454543,59.15,,69.707755896,0.08,0
104,2021-07-28 09:45:00+05:30,56.95,61.0,56.95,60.05,300,10525,62.894720312519425,-1,,62.894720312519425,66.81444062503884,-1,,66.81444062503884,71.84772727272725,59.167886178861785,,68.67913542432,0.08,0
105,2021-07-28 10:15:00+05:30,60.05,64.85,57.15,64.85,525,10400,56.54023973212621,1,56.54023973212621,,66.81444062503884,-1,,66.81444062503884,71.41136363636362,59.62222222222222,,67.7328045903744,0.08,0
106,2021-07-28 10:45:00+05:30,64.85,68.0,59.6,61.2,1825,11125,58.77734834182247,1,58.77734834182247,,66.81444062503884,-1,,66.81444062503884,71.08863636363634,60.736098310291865,56.85,,0.02,1
107,2021-07-28 11:15:00+05:30,61.2,61.2,57.55,59.65,350,11300,58.77734834182247,1,58.77734834182247,,66.81444062503884,-1,,66.81444062503884,70.67613636363633,60.65916305916306,57.073,,0.02,0
108,2021-07-28 11:45:00+05:30,59.65,60.1,57.8,60.1,550,11225,58.77734834182247,1,58.77734834182247,,66.81444062503884,-1,,66.81444062503884,70.29204545454542,60.54387351778656,57.29154,,0.02,0
109,2021-07-28 12:15:00+05:30,60.1,63.0,59.1,60.45,525,11250,58.77734834182247,1,58.77734834182247,,66.81444062503884,-1,,66.81444062503884,69.79772727272724,60.567335766423355,57.5057092,,0.02,0
110,2021-07-28 12:45:00+05:30,60.45,65.5,60.45,64.0,650,11825,58.77734834182247,1,58.77734834182247,,66.81444062503884,-1,,66.81444062503884,69.54545454545452,60.805611111111105,57.715595016,,0.02,0
111,2021-07-28 13:15:00+05:30,64.0,71.25,63.7,68.35,1025,11850,62.55656189123648,1,62.55656189123648,,57.63812378247296,1,57.63812378247296,,69.43181818181814,61.64257086999022,57.921283115680005,,0.04,0
112,2021-07-28 13:45:00+05:30,68.35,69.45,64.65,65.0,750,11675,62.55656189123648,1,62.55656189123648,,57.63812378247296,1,57.63812378247296,,69.25568181818178,62.02457322551662,58.454431791052805,,0.04,0
113,2021-07-28 14:15:00+05:30,65.05,65.6,57.55,59.0,1875,12700,66.926301467663,-1,,66.926301467663,57.63812378247296,1,57.63812378247296,,68.78068181818179,61.804633781763826,,71.25,0.02,1
114,2021-07-28 14:45:00+05:30,59.0,61.85,57.95,60.5,950,12425,65.04397268656828,-1,,65.04397268656828,57.63812378247296,1,57.63812378247296,,68.45340909090906,61.670798898071624,,70.976,0.02,0
115,2021-07-28 15:15:00+05:30,60.5,61.05,55.0,56.8,675,12475,63.29840515991567,-1,,63.29840515991567,68.57181031983134,-1,,68.57181031983134,68.01704545454542,61.45658838878017,,70.70748,0.04,0
116,2021-07-29 09:15:00+05:30,55.95,56.95,54.3,56.35,100,12575,60.52363299421343,-1,,60.52363299421343,65.42226598842686,-1,,65.42226598842686,67.57045454545451,55.86666666666667,,70.0791808,0.06,0
117,2021-07-29 09:45:00+05:30,56.35,56.35,55.3,55.3,100,12500,60.17382828075437,-1,,60.17382828075437,64.52265656150874,-1,,64.52265656150874,67.14886363636361,55.75833333333334,,69.13242995200001,0.06,0
118,2021-07-29 10:15:00+05:30,55.3,55.3,51.85,55.2,175,12425,57.795424240646604,-1,,57.795424240646604,62.015848481293204,-1,,62.015848481293204,66.73295454545452,54.99222222222223,,68.24248415488,0.08,0
119,2021-07-29 10:45:00+05:30,55.2,55.2,51.95,53.0,3450,14200,57.65679220626852,-1,,57.65679220626852,61.73858441253704,-1,,61.73858441253704,66.21022727272724,53.54106753812636,,66.9310854224896,0.08,0
120,2021-07-29 11:15:00+05:30,53.0,53.95,51.85,53.6,500,15100,56.69867903394445,-1,,56.69867903394445,60.49735806788889,-1,,60.49735806788889,65.70113636363634,53.49393063583815,,65.72459858869044,0.08,0
121,2021-07-29 11:45:00+05:30,53.6,53.6,50.4,50.4,150,15150,55.713153457666664,-1,,55.713153457666664,59.42630691533333,-1,,59.42630691533333,65.17272727272724,53.425977653631286,,64.6146307015952,0.1,0
122,2021-07-29 12:15:00+05:30,50.4,51.55,50.0,50.0,1175,15300,54.17913153514285,-1,,54.17913153514285,57.58326307028571,-1,,57.58326307028571,64.63409090909089,52.82094395280237,,63.193167631435685,0.12000000000000001,0
123,2021-07-29 12:45:00+05:30,50.0,50.15,46.5,46.85,350,15225,51.76425560155102,-1,,51.76425560155102,55.20351120310204,-1,,55.20351120310204,64.05113636363633,52.53000000000001,,61.609987515663406,0.14,0
124,2021-07-29 13:15:00+05:30,46.85,52.85,46.85,52.2,725,15050,46.04492377009913,1,46.04492377009913,,55.20351120310204,-1,,55.20351120310204,63.55568181818178,52.32552664188353,,59.49458926347053,0.14,0
125,2021-07-29 13:45:00+05:30,52.2,52.2,48.15,48.15,500,14600,46.33493466008496,1,46.33493466008496,,55.20351120310204,-1,,55.20351120310204,62.98749999999996,52.129988465974634,,57.67534676658465,0.14,0
126,2021-07-29 14:15:00+05:30,48.15,50.95,47.95,50.95,375,14650,46.33493466008496,1,46.33493466008496,,55.20351120310204,-1,,55.20351120310204,62.463636363636326,52.02242324561404,,56.110798219262804,0.14,0
127,2021-07-29 14:45:00+05:30,53.25,53.85,49.95,49.95,425,14600,48.154237709450186,1,48.154237709450186,,55.20351120310204,-1,,55.20351120310204,61.87159090909086,51.98151609553479,,54.76528646856601,0.14,0
128,2021-07-29 15:15:00+05:30,49.95,54.85,49.95,54.7,300,14775,48.489346608100156,1,48.489346608100156,,55.20351120310204,-1,,55.20351120310204,61.45227272727268,52.024224224224234,46.5,,0.02,1
