,date,open,high,low,close,volume,oi
123,2021-05-11 13:15:00+05:30,378.4,404.0,378.4,399.55,19875,111225
124,2021-05-11 13:20:00+05:30,400.7,432.0,399.55,432.0,17400,106275
125,2021-05-11 13:25:00+05:30,432.0,455.1,410.3,410.3,26025,104525
126,2021-05-11 13:30:00+05:30,411.1,420.75,404.9,419.55,11100,108550
127,2021-05-11 13:35:00+05:30,419.2,435.1,403.0,403.0,14050,108375
128,2021-05-11 13:40:00+05:30,402.0,410.95,397.0,409.2,4625,109525
129,2021-05-11 13:45:00+05:30,409.2,423.25,404.05,409.0,4850,109975
130,2021-05-11 13:50:00+05:30,409.0,412.4,389.35,393.6,5600,111500
131,2021-05-11 13:55:00+05:30,393.6,400.25,387.65,393.55,5025,113025
132,2021-05-11 14:00:00+05:30,393.55,402.35,378.45,384.15,6850,111900
133,2021-05-11 14:05:00+05:30,384.15,403.7,378.0,399.95,6125,113575
134,2021-05-11 14:10:00+05:30,397.0,413.35,391.85,413.35,8075,113775
135,2021-05-11 14:15:00+05:30,413.35,413.35,388.05,388.1,4125,112750
136,2021-05-11 14:20:00+05:30,388.1,390.95,383.45,388.55,6325,114625
137,2021-05-11 14:25:00+05:30,388.55,403.0,388.55,399.45,6075,115525
138,2021-05-11 14:30:00+05:30,397.9,417.25,377.1,379.5,14925,117150
139,2021-05-11 14:35:00+05:30,379.5,385.0,366.2,380.55,10750,117800
140,2021-05-11 14:40:00+05:30,380.55,396.3,380.0,394.35,7900,117300
141,2021-05-11 14:45:00+05:30,394.25,398.2,366.85,368.1,6000,115925
142,2021-05-11 14:50:00+05:30,368.1,376.9,361.5,373.35,8875,117875
143,2021-05-11 14:55:00+05:30,373.35,389.8,370.85,388.25,9175,119475
144,2021-05-11 15:00:00+05:30,388.25,393.3,367.3,370.25,16575,121525
145,2021-05-11 15:05:00+05:30,369.3,377.1,362.55,374.85,8150,123600
146,2021-05-11 15:10:00+05:30,375.7,380.0,371.35,373.85,6150,122725
147,2021-05-11 15:15:00+05:30,373.85,381.05,369.35,377.45,10200,122625
148,2021-05-11 15:20:00+05:30,377.75,383.9,377.55,379.35,9800,123350
149,2021-05-11 15:25:00+05:30,380.5,387.95,379.25,385.0,16150,122500
150,2021-05-12 09:15:00+05:30,424.95,452.55,401.15,418.55,35600,124800
151,2021-05-12 09:20:00+05:30,420.7,460.95,418.2,444.85,43275,132350
152,2021-05-12 09:25:00+05:30,441.55,450.0,429.15,435.0,26500,140450
153,2021-05-12 09:30:00+05:30,435.0,467.95,433.0,465.9,43075,142625
154,2021-05-12 09:35:00+05:30,465.9,492.95,465.9,490.9,34375,146600
155,2021-05-12 09:40:00+05:30,488.6,491.2,457.85,460.0,25800,151875
156,2021-05-12 09:45:00+05:30,458.6,482.0,458.2,475.45,17025,154300
157,2021-05-12 09:50:00+05:30,472.55,477.95,462.0,469.0,14700,158550
158,2021-05-12 09:55:00+05:30,469.0,469.0,436.95,449.4,22950,163625
159,2021-05-12 10:00:00+05:30,449.4,457.1,439.55,445.0,14825,163250
160,2021-05-12 10:05:00+05:30,445.0,451.0,435.25,449.2,9475,165525
161,2021-05-12 10:10:00+05:30,450.4,479.95,447.4,479.95,19925,165750
