,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
48,2021-08-09 13:45:00+05:30,16196.85,16232.7,16179.25,16230.75,0,0,16322.018682701104,-1,,16322.018682701104,16231.555331785628,-1,,16231.555331785628,16250.924534899577,-1,,16250.924534899577,16257.502045811416,-1,,16257.502045811416,16223.028554523753,-1,,16223.028554523753,16269.417045454546,,16307.2402144,0.06,False
49,2021-08-09 14:15:00+05:30,16230.2,16246.2,16215.25,16222.65,0,0,16322.018682701104,-1,,16322.018682701104,16231.555331785628,-1,,16231.555331785628,16250.924534899577,-1,,16250.924534899577,16257.502045811416,-1,,16257.502045811416,16223.028554523753,-1,,16223.028554523753,16268.614772727275,,16297.000997248,0.08,False
50,2021-08-09 14:45:00+05:30,16222.6,16270.35,16217.05,16259.45,0,0,16322.018682701104,-1,,16322.018682701104,16217.83418824933,1,16217.83418824933,,16197.546693158352,1,16197.546693158352,,16191.112016304143,1,16191.112016304143,,16226.456125499553,1,16226.456125499553,,16268.818181818182,,16287.58091746816,0.08,False
51,2021-08-09 15:15:00+05:30,16259.9,16265.8,16250.75,16254.1,0,0,16322.018682701104,-1,,16322.018682701104,16236.618142527783,1,16236.618142527783,,16214.942800719422,1,16214.942800719422,,16207.847996208544,1,16207.847996208544,,16243.837095018522,1,16243.837095018522,,16269.220454545457,,16278.914444070708,0.08,False
52,2021-08-10 09:15:00+05:30,16274.8,16327.55,16267.95,16312.2,0,0,16322.018682701104,-1,,16322.018682701104,16270.489855557118,1,16270.489855557118,,16249.920122410746,1,16249.920122410746,,16243.736870880839,1,16243.736870880839,,16279.576570371411,1,16279.576570371411,,16270.286363636364,16179.25,,0.08,True
53,2021-08-10 09:45:00+05:30,16312.55,16329.4,16300.25,16320.3,0,0,16322.018682701104,-1,,16322.018682701104,16290.007392105512,1,16290.007392105512,,16268.284469959044,1,16268.284469959044,,16261.713814779976,1,16261.713814779976,,16298.279928070342,1,16298.279928070342,,16271.5375,16182.216,,0.02,False
54,2021-08-10 10:15:00+05:30,16320.35,16321.0,16300.5,16314.65,0,0,16322.018682701104,-1,,16322.018682701104,16290.007392105512,1,16290.007392105512,,16268.284469959044,1,16268.284469959044,,16261.713814779976,1,16261.713814779976,,16298.279928070342,1,16298.279928070342,,16272.877272727272,16188.103360000001,,0.04,False
55,2021-08-10 10:45:00+05:30,16313.95,16359.2,16310.35,16318.7,0,0,16322.018682701104,-1,,16322.018682701104,16311.181345682717,1,16311.181345682717,,16289.003276371814,1,16289.003276371814,,16282.174873606475,1,16282.174873606475,,16319.045897121812,1,16319.045897121812,,16274.081818181818,16193.755225600002,,0.04,False
56,2021-08-10 11:15:00+05:30,16318.5,16349.5,16317.3,16347.75,0,0,16219.980248160406,1,16219.980248160406,,16311.181345682717,1,16311.181345682717,,16289.003276371814,1,16289.003276371814,,16282.174873606475,1,16282.174873606475,,16319.045897121812,1,16319.045897121812,,16276.235227272728,16203.681912064001,,0.06,False
57,2021-08-10 11:45:00+05:30,16347.75,16359.05,16340.35,16351.15,0,0,16244.469856519045,1,16244.469856519045,,16330.001069667343,1,16330.001069667343,,16306.909918727866,1,16306.909918727866,,16299.37065929882,1,16299.37065929882,,16336.56737977823,1,16336.56737977823,,16278.492045454546,16213.012997340162,,0.06,False
58,2021-08-10 12:15:00+05:30,16350.5,16355.1,16335.25,16340.35,0,0,16246.471323818818,1,16246.471323818818,,16330.001069667343,1,16330.001069667343,,16306.909918727866,1,16306.909918727866,,16299.37065929882,1,16299.37065929882,,16336.56737977823,1,16336.56737977823,,16280.793181818182,16221.784217499751,,0.06,False
59,2021-08-10 12:45:00+05:30,16340.35,16346.55,16323.3,16329.65,0,0,16246.471323818818,1,16246.471323818818,,16351.726273219709,-1,,16351.726273219709,16306.909918727866,1,16306.909918727866,,16299.37065929882,1,16299.37065929882,,16346.125848813139,-1,,16346.125848813139,16282.885227272729,16230.029164449767,,0.06,False
60,2021-08-10 13:15:00+05:30,16329.85,16341.6,16322.3,16333.5,0,0,16246.471323818818,1,16246.471323818818,,16347.44595488356,-1,,16347.44595488356,16306.909918727866,1,16306.909918727866,,16299.37065929882,1,16299.37065929882,,16342.280636589041,-1,,16342.280636589041,16285.026136363636,16237.779414582781,,0.06,False
61,2021-08-10 13:45:00+05:30,16333.5,16337.85,16205.25,16208.35,0,0,16404.948936400877,-1,,16404.948936400877,16303.06196644998,-1,,16303.06196644998,16321.627958398758,-1,,16321.627958398758,16327.270293266114,-1,,16327.270293266114,16292.55797763332,-1,,16292.55797763332,16283.8375,,16359.2,0.06,True
62,2021-08-10 14:15:00+05:30,16207.85,16275.75,16203.3,16263.6,0,0,16384.917672105432,-1,,16384.917672105432,16274.026474877708,-1,,16274.026474877708,16293.293997896322,-1,,16293.293997896322,16298.332591907385,-1,,16298.332591907385,16262.525983251804,-1,,16262.525983251804,16283.481818181817,,16356.121000000001,0.02,False
63,2021-08-10 14:45:00+05:30,16263.6,16294.3,16262.3,16288.15,0,0,16384.917672105432,-1,,16384.917672105432,16247.62389388032,1,16247.62389388032,,16293.293997896322,-1,,16293.293997896322,16298.332591907385,-1,,16298.332591907385,16257.849262586878,1,16257.849262586878,,16283.431818181818,,16350.008160000001,0.04,False
64,2021-08-10 15:15:00+05:30,16287.2,16288.1,16262.65,16268.3,0,0,16384.917672105432,-1,,16384.917672105432,16248.542920439331,1,16248.542920439331,,16293.293997896322,-1,,16293.293997896322,16298.332591907385,-1,,16298.332591907385,16257.849262586878,1,16257.849262586878,,16282.051136363636,,16344.139833600002,0.04,False
65,2021-08-11 09:15:00+05:30,16327.3,16337.4,16248.35,16267.25,0,0,16384.917672105432,-1,,16384.917672105432,16259.393440291757,1,16259.393440291757,,16293.293997896322,-1,,16293.293997896322,16298.332591907385,-1,,16298.332591907385,16270.553960194504,1,16270.553960194504,,16280.710227272728,,16338.506240256002,0.04,False
66,2021-08-11 09:45:00+05:30,16267.6,16288.2,16205.4,16218.75,0,0,16384.917672105432,-1,,16384.917672105432,16284.33116979842,-1,,16284.33116979842,16306.914653639162,-1,,16306.914653639162,16311.469604815595,-1,,16311.469604815595,16271.820779865615,-1,,16271.820779865615,16278.011363636364,,16337.4,0.04,False
67,2021-08-11 10:15:00+05:30,16218.0,16249.45,16183.15,16203.6,0,0,16384.723095603586,-1,,16384.723095603586,16254.39337735061,-1,,16254.39337735061,16278.360693642295,-1,,16278.360693642295,16282.863671679852,-1,,16282.863671679852,16241.695584900408,-1,,16241.695584900408,16275.377272727275,,16337.4,0.04,False
